,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MVP_Rank,MVP_First,MVP_Pts Won,MVP_Pts Max,MVP_Share
131,2011,Ryan Gomes,SF,28,LAC,76,62,27.6,2.7,6.6,0.41,0.9,2.8,0.341,1.8,3.9,0.459,0.481,0.8,1.1,0.718,0.8,2.5,3.3,1.6,0.8,0.2,0.7,2.1,7.2,9.0,0.504,0.418,0.168,3.4,10.7,7.1,8.5,1.5,0.4,9.2,12.7,1.3,1.2,2.5,0.057,-2.1,0.0,-2.1,-0.1,,,,,
132,2011,Drew Gooden,PF,29,MIL,35,18,24.6,4.5,10.3,0.431,0.1,0.6,0.15,4.4,9.8,0.447,0.435,2.3,2.9,0.794,2.1,4.7,6.8,1.3,0.6,0.5,1.3,2.8,11.3,15.9,0.487,0.055,0.282,9.6,22.9,16.1,10.3,1.3,1.6,10.2,24.6,0.3,1.5,1.8,0.101,-1.2,0.2,-1.0,0.2,,,,,
133,2011,Ben Gordon,SG,27,DET,82,27,26.0,4.1,9.4,0.44,1.3,3.2,0.402,2.8,6.1,0.46,0.51,1.7,2.0,0.85,0.5,1.9,2.4,2.1,0.6,0.2,1.7,2.2,11.2,12.4,0.548,0.345,0.208,2.2,9.3,5.6,13.2,1.2,0.6,14.4,21.5,1.3,0.3,1.7,0.037,-0.6,-1.9,-2.5,-0.3,,,,,
134,2011,Eric Gordon,SG,22,LAC,56,56,37.7,7.6,16.9,0.45,1.9,5.2,0.364,5.7,11.8,0.488,0.506,5.1,6.2,0.825,0.8,2.1,2.9,4.4,1.3,0.3,2.7,2.1,22.3,18.5,0.566,0.307,0.367,2.5,6.6,4.5,20.7,1.7,0.7,12.0,26.5,4.2,1.1,5.3,0.12,3.0,-1.0,2.0,2.2,,,,,
135,2011,Joey Graham,SF,28,CLE,39,8,15.0,2.1,4.6,0.458,0.2,0.8,0.3,1.9,3.8,0.49,0.483,0.7,0.9,0.806,0.2,1.9,2.2,0.5,0.2,0.2,0.7,1.9,5.2,7.7,0.518,0.168,0.201,1.5,15.3,8.2,5.2,0.5,0.9,12.6,17.2,-0.2,0.1,0.0,-0.004,-4.5,-1.3,-5.8,-0.6,,,,,
136,2011,Stephen Graham,SG,28,NJN,59,28,16.3,1.4,3.4,0.405,0.1,0.4,0.238,1.3,3.0,0.425,0.418,0.5,0.6,0.816,0.3,1.8,2.1,0.7,0.2,0.0,0.6,1.8,3.4,4.4,0.457,0.105,0.19,2.0,13.4,7.6,6.5,0.8,0.1,14.9,12.3,-0.7,0.4,-0.3,-0.014,-5.8,-1.0,-6.8,-1.2,,,,,
137,2011,Danny Granger,SF,27,IND,79,79,35.0,6.8,15.9,0.425,2.0,5.2,0.386,4.8,10.8,0.443,0.487,5.0,5.9,0.848,1.1,4.3,5.4,2.6,1.1,0.8,2.6,2.7,20.5,17.8,0.554,0.323,0.37,3.5,13.5,8.5,13.0,1.6,1.6,12.3,26.7,3.7,3.2,6.9,0.12,2.2,-0.1,2.1,2.9,,,,,
138,2011,Aaron Gray,C,26,NOH,41,6,13.0,1.4,2.4,0.566,0.0,0.0,0.0,1.4,2.4,0.566,0.566,0.4,0.8,0.5,1.4,2.7,4.2,0.4,0.3,0.3,0.8,2.3,3.1,11.0,0.566,0.0,0.343,13.4,25.8,19.6,4.7,1.1,1.9,21.9,13.1,0.3,0.8,1.1,0.1,-3.9,-0.2,-4.0,-0.3,,,,,
139,2011,Danny Green,SG,23,SAS,8,0,11.5,2.1,4.4,0.486,0.9,2.4,0.368,1.3,2.0,0.625,0.586,0.0,0.0,0.0,0.4,1.5,1.9,0.3,0.3,0.1,0.6,0.9,5.1,13.2,0.586,0.543,0.0,3.9,14.8,9.5,3.6,1.1,0.8,12.5,20.0,0.0,0.1,0.1,0.076,0.1,-0.7,-0.6,0.0,,,,,
140,2011,Willie Green,SG,29,NOH,77,13,21.7,3.5,7.9,0.443,0.7,2.0,0.348,2.8,5.9,0.476,0.488,1.0,1.3,0.78,0.3,1.8,2.1,1.0,0.5,0.2,0.9,1.9,8.7,10.8,0.515,0.255,0.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,0.3,1.5,1.8,0.052,-2.1,-0.7,-2.8,-0.3,,,,,
141,2011,Donté Greene,SF,22,SAC,69,21,16.3,2.3,5.6,0.404,0.7,2.2,0.292,1.6,3.4,0.478,0.462,0.6,0.9,0.662,0.7,1.4,2.1,0.7,0.5,0.3,0.9,1.3,5.8,9.7,0.482,0.399,0.168,4.8,10.2,7.4,6.5,1.6,1.3,12.6,18.2,-0.2,0.8,0.5,0.022,-1.8,-0.4,-2.2,-0.1,,,,,
142,2011,Orien Greene,SG,28,NJN,3,0,1.7,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.7,0.5,0.5,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,33.0,0.521,0.0,1.0,0.0,0.0,0.0,37.8,10.7,0.0,0.0,26.7,0.0,0.0,0.0,0.293,6.0,9.1,15.1,0.0,,,,,
143,2011,Blake Griffin,PF,21,LAC,82,82,38.0,8.5,16.8,0.506,0.1,0.3,0.292,8.4,16.5,0.51,0.508,5.4,8.5,0.642,3.3,8.8,12.1,3.8,0.8,0.5,2.7,3.1,22.5,21.9,0.549,0.017,0.505,10.2,26.9,18.6,18.7,1.0,1.1,11.7,27.3,6.5,3.4,9.8,0.152,3.0,-0.3,2.6,3.6,10.0,0.0,5.0,1210.0,0.004
144,2011,Hamed Haddadi,C,25,MEM,31,0,5.4,1.0,1.9,0.517,0.0,0.0,0.0,1.0,1.8,0.526,0.517,0.5,0.7,0.652,0.8,1.4,2.2,0.2,0.1,0.4,0.4,0.9,2.4,19.7,0.55,0.017,0.397,16.9,31.6,24.2,4.8,0.6,6.3,13.9,21.2,0.3,0.3,0.6,0.164,-1.1,0.0,-1.1,0.0,,,,,
145,2011,Richard Hamilton,SG,32,DET,55,39,27.2,5.2,12.2,0.429,1.0,2.6,0.382,4.2,9.6,0.442,0.47,2.7,3.1,0.849,0.4,1.9,2.3,3.1,0.7,0.1,1.6,1.7,14.1,15.8,0.52,0.215,0.256,1.9,8.7,5.1,19.8,1.4,0.2,10.5,26.0,1.6,0.2,1.8,0.059,0.6,-2.2,-1.6,0.1,,,,,
146,2011,Tyler Hansbrough,PF,25,IND,70,29,21.9,4.1,8.8,0.465,0.0,0.0,0.0,4.1,8.7,0.466,0.465,2.8,3.6,0.779,2.1,3.2,5.2,0.6,0.5,0.2,1.1,2.3,11.0,16.4,0.529,0.003,0.413,10.6,15.9,13.2,4.7,1.2,0.7,9.5,23.1,2.2,1.6,3.8,0.118,-0.6,-1.3,-1.9,0.0,,,,,
147,2011,James Harden,SG,21,OKC,82,5,26.7,3.6,8.3,0.436,1.4,4.0,0.349,2.3,4.4,0.514,0.518,3.5,4.2,0.843,0.5,2.6,3.1,2.1,1.1,0.3,1.3,2.5,12.2,16.4,0.598,0.474,0.501,2.3,11.0,6.8,12.8,2.2,0.8,11.3,19.5,5.0,2.1,7.1,0.156,1.3,0.6,1.9,2.2,,,,,
148,2011,Al Harrington,PF,30,DEN,73,3,22.8,3.8,9.2,0.416,1.6,4.5,0.357,2.2,4.8,0.473,0.503,1.2,1.6,0.735,1.0,3.5,4.5,1.4,0.5,0.1,1.5,2.8,10.5,12.3,0.527,0.486,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.06,-0.6,-1.1,-1.7,0.1,,,,,
149,2011,Manny Harris,SG,21,CLE,54,15,17.3,2.0,5.4,0.374,0.6,1.7,0.37,1.4,3.6,0.376,0.433,1.3,1.7,0.763,0.7,1.9,2.6,1.6,0.6,0.1,1.2,1.2,5.9,10.4,0.486,0.318,0.322,4.3,13.2,8.6,14.8,1.7,0.6,16.0,19.1,-0.4,0.4,0.0,0.002,-2.3,-1.2,-3.5,-0.4,,,,,
150,2011,Mike Harris,PF,27,HOU,4,0,4.0,0.8,1.5,0.5,0.0,0.0,0.0,0.8,1.5,0.5,0.5,0.5,1.0,0.5,0.5,0.8,1.3,0.3,0.0,0.3,0.3,0.5,2.0,17.9,0.515,0.0,0.667,14.1,21.3,17.7,10.2,0.0,4.3,11.4,24.2,0.0,0.0,0.0,0.102,-2.3,-0.2,-2.4,0.0,,,,,
151,2011,Udonis Haslem,PF,30,MIA,13,0,26.5,3.4,6.6,0.512,0.0,0.0,0.0,3.4,6.6,0.512,0.512,1.2,1.5,0.8,2.2,5.9,8.2,0.5,0.5,0.2,1.1,3.0,8.0,12.7,0.549,0.0,0.233,10.6,25.0,18.2,2.7,1.1,0.7,12.9,14.8,0.4,0.6,0.9,0.13,-1.7,-0.5,-2.3,0.0,,,,,
152,2011,Spencer Hawes,C,22,PHI,81,81,21.2,3.3,7.0,0.465,0.1,0.5,0.243,3.1,6.6,0.48,0.473,0.6,1.1,0.534,1.6,4.1,5.7,1.5,0.4,0.9,1.2,2.5,7.2,12.8,0.481,0.065,0.155,8.7,22.5,15.6,11.2,0.9,3.1,13.8,18.9,-0.3,2.6,2.4,0.066,-2.5,0.7,-1.9,0.0,,,,,
153,2011,Chuck Hayes,C,27,HOU,74,63,28.1,3.3,6.3,0.527,0.0,0.0,0.0,3.3,6.2,0.529,0.527,1.3,1.9,0.662,3.0,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9,16.2,0.554,0.004,0.307,11.9,20.7,16.3,14.3,1.9,1.6,14.1,13.0,3.9,2.4,6.3,0.146,0.6,1.3,1.9,2.1,,,,,
154,2011,Gordon Hayward,SF,20,UTA,72,17,16.9,2.0,4.1,0.485,0.5,1.0,0.473,1.5,3.0,0.489,0.544,1.0,1.3,0.711,0.6,1.4,1.9,1.1,0.4,0.3,1.0,1.5,5.4,10.7,0.578,0.253,0.331,4.0,9.8,6.9,10.2,1.3,1.3,17.3,15.3,0.8,0.4,1.2,0.048,-1.2,-1.1,-2.2,-0.1,,,,,
155,2011,Lazar Hayward,SF,24,MIN,42,0,10.0,1.3,3.7,0.357,0.4,1.4,0.283,0.9,2.2,0.404,0.412,0.8,1.0,0.786,0.5,1.1,1.7,0.7,0.3,0.2,0.5,1.0,3.8,10.8,0.464,0.39,0.273,5.9,12.8,9.3,10.3,1.4,1.3,9.9,19.5,0.1,0.2,0.3,0.035,-1.6,-1.3,-2.9,-0.1,,,,,
156,2011,Brendan Haywood,C,31,DAL,72,8,18.5,1.8,3.1,0.574,0.0,0.0,0.0,1.8,3.1,0.577,0.574,0.9,2.5,0.362,1.8,3.4,5.2,0.3,0.2,1.0,0.7,2.0,4.4,11.7,0.532,0.004,0.794,11.8,20.9,16.5,2.1,0.6,4.2,14.5,12.4,0.8,2.1,2.9,0.104,-2.5,0.6,-1.9,0.0,,,,,
157,2011,Luther Head,PG,28,SAC,36,14,16.3,1.9,4.6,0.415,0.7,1.8,0.391,1.2,2.8,0.43,0.491,1.1,1.4,0.78,0.4,1.2,1.7,1.9,0.3,0.3,0.9,1.2,5.6,11.7,0.538,0.39,0.305,3.0,8.8,5.8,17.7,0.9,1.1,14.7,16.1,0.6,0.2,0.9,0.073,0.0,-0.7,-0.7,0.2,,,,,
158,2011,Gerald Henderson,SG,23,CHA,68,30,24.4,3.8,8.4,0.454,0.1,0.5,0.194,3.7,7.9,0.472,0.461,1.9,2.4,0.785,0.7,2.3,3.0,1.5,0.7,0.5,0.9,1.7,9.6,13.2,0.509,0.063,0.286,3.5,11.6,7.5,10.7,1.6,1.6,9.1,19.9,0.9,1.4,2.4,0.068,-1.6,-0.2,-1.8,0.1,,,,,
159,2011,Xavier Henry,SG,19,MEM,38,16,13.9,1.7,4.2,0.406,0.1,0.4,0.118,1.7,3.8,0.441,0.413,0.9,1.4,0.635,0.2,0.7,1.0,0.5,0.3,0.1,0.3,1.3,4.3,7.0,0.451,0.106,0.325,2.0,6.4,4.2,5.0,1.1,0.5,6.6,16.8,-0.1,0.3,0.2,0.021,-4.5,-0.8,-5.3,-0.4,,,,,
160,2011,Roy Hibbert,C,24,IND,81,80,27.7,5.1,11.0,0.461,0.0,0.0,0.0,5.1,10.9,0.463,0.461,2.5,3.4,0.745,2.2,5.3,7.5,2.0,0.4,1.8,2.3,3.2,12.7,15.9,0.507,0.004,0.309,9.1,21.0,15.1,12.8,0.7,4.6,15.5,23.6,0.3,3.3,3.6,0.077,-1.8,0.7,-1.1,0.5,,,,,
161,2011,J.J. Hickson,C,22,CLE,80,66,28.2,5.4,11.7,0.458,0.0,0.1,0.0,5.4,11.6,0.461,0.458,3.1,4.6,0.673,2.7,6.0,8.7,1.1,0.6,0.7,2.2,2.7,13.8,15.6,0.503,0.005,0.392,10.8,25.0,17.7,7.5,1.1,1.8,13.6,25.5,-0.2,1.7,1.5,0.032,-1.8,-2.1,-3.8,-1.1,,,,,
162,2011,Nenê,C,28,DEN,75,75,30.5,5.4,8.7,0.615,0.0,0.1,0.2,5.3,8.7,0.618,0.615,3.8,5.4,0.711,1.9,5.7,7.6,2.0,1.1,1.0,1.8,3.2,14.5,20.4,0.657,0.008,0.615,7.5,20.8,14.4,10.4,1.8,2.4,13.9,18.8,6.4,3.1,9.6,0.201,2.1,1.5,3.6,3.2,,,,,
163,2011,George Hill,PG,24,SAS,76,5,28.3,3.8,8.3,0.453,1.0,2.7,0.377,2.8,5.6,0.49,0.514,3.1,3.6,0.863,0.3,2.3,2.6,2.5,0.9,0.3,1.3,2.0,11.6,14.6,0.588,0.322,0.427,1.3,9.2,5.4,13.6,1.6,0.7,11.6,18.2,4.0,2.1,6.1,0.136,0.2,0.6,0.8,1.5,,,,,
164,2011,Grant Hill,SF,38,PHO,80,80,30.1,5.0,10.3,0.484,0.6,1.4,0.395,4.4,8.9,0.498,0.511,2.7,3.2,0.829,1.0,3.3,4.2,2.5,0.8,0.4,1.7,2.3,13.2,14.7,0.563,0.138,0.312,3.7,12.5,8.1,13.0,1.4,1.1,12.5,20.1,3.1,1.3,4.4,0.087,-0.2,-0.3,-0.5,0.9,,,,,
165,2011,Jordan Hill,C,23,HOU,72,11,15.6,2.4,4.9,0.491,0.0,0.0,0.0,2.4,4.9,0.494,0.491,0.8,1.2,0.706,1.8,2.5,4.3,0.4,0.2,0.7,0.9,2.2,5.6,13.1,0.521,0.006,0.241,12.9,18.0,15.4,4.0,0.6,3.2,13.7,17.7,0.8,1.0,1.8,0.079,-2.9,-1.4,-4.3,-0.7,,,,,
166,2011,Jrue Holiday,PG,20,PHI,82,82,35.4,5.4,12.2,0.446,1.0,2.7,0.365,4.5,9.5,0.47,0.487,2.1,2.5,0.823,0.8,3.2,4.0,6.5,1.5,0.4,2.7,2.5,14.0,15.4,0.525,0.222,0.209,2.7,10.5,6.6,29.0,2.2,0.8,16.7,20.8,2.2,3.5,5.7,0.094,0.4,0.4,0.8,2.0,,,,,
167,2011,Ryan Hollins,C,26,CLE,70,16,16.9,1.9,3.1,0.598,0.0,0.0,0.0,1.9,3.1,0.598,0.598,1.6,2.3,0.681,1.0,1.7,2.7,0.4,0.3,0.6,1.0,2.8,5.3,10.7,0.642,0.0,0.744,6.6,11.6,9.0,3.6,1.0,2.7,18.7,13.7,1.3,0.5,1.8,0.072,-4.0,-0.3,-4.3,-0.7,,,,,
168,2011,Al Horford,C,24,ATL,77,77,35.1,6.7,12.0,0.557,0.0,0.1,0.5,6.6,11.9,0.557,0.558,1.9,2.4,0.798,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5,15.3,20.7,0.587,0.004,0.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2.5,1.1,3.6,3.9,,,,,
169,2011,Eddie House,SG,32,MIA,56,1,17.5,2.3,5.7,0.399,1.2,3.1,0.389,1.1,2.6,0.411,0.505,0.7,0.7,0.95,0.2,1.5,1.6,1.1,0.6,0.1,0.5,1.2,6.5,11.9,0.535,0.545,0.125,1.2,9.5,5.6,10.0,1.7,0.2,7.9,17.6,1.0,1.2,2.2,0.108,-0.5,0.2,-0.3,0.4,,,,,
170,2011,Dwight Howard,C,25,ORL,78,78,37.6,7.9,13.4,0.593,0.0,0.1,0.0,7.9,13.3,0.597,0.593,7.0,11.7,0.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,6.7,7.7,14.4,0.235,2.9,2.4,5.3,5.4,2.0,3.0,643.0,1210.0,0.531
171,2011,Josh Howard,SF,30,WAS,18,10,22.7,3.2,9.0,0.358,0.4,1.6,0.241,2.8,7.4,0.383,0.38,1.6,2.6,0.617,1.0,3.1,4.1,1.3,0.7,0.3,1.1,1.9,8.4,9.2,0.416,0.179,0.29,4.8,16.2,10.3,9.4,1.6,0.9,9.9,21.9,-0.5,0.3,-0.2,-0.027,-3.1,-0.7,-3.8,-0.2,,,,,
172,2011,Juwan Howard,PF,37,MIA,57,0,10.4,1.0,2.2,0.44,0.0,0.0,0.0,1.0,2.2,0.44,0.44,0.5,0.6,0.829,0.6,1.5,2.1,0.4,0.2,0.1,0.4,1.1,2.4,8.4,0.495,0.0,0.28,7.7,16.3,12.2,5.8,0.9,0.5,15.1,13.1,0.2,0.8,0.9,0.074,-3.5,0.0,-3.5,-0.2,,,,,
173,2011,Lester Hudson,PG,26,WAS,11,0,6.6,0.5,2.2,0.25,0.4,1.4,0.267,0.2,0.8,0.222,0.333,0.2,0.4,0.5,0.1,0.4,0.5,1.5,0.4,0.1,0.6,0.9,1.6,6.0,0.349,0.625,0.167,1.5,6.5,3.9,34.1,2.8,1.0,21.4,19.8,-0.2,0.0,-0.1,-0.082,-3.9,-0.4,-4.3,0.0,,,,,
174,2011,Kris Humphries,PF,25,NJN,74,44,27.9,4.1,7.9,0.527,0.0,0.0,0.0,4.1,7.9,0.527,0.527,1.7,2.6,0.665,3.0,7.4,10.4,1.1,0.4,1.1,1.4,2.3,10.0,17.8,0.555,0.002,0.328,12.5,32.2,22.1,7.0,0.9,3.0,13.4,17.3,2.7,2.7,5.4,0.125,0.5,-0.1,0.4,1.3,,,,,
175,2011,Serge Ibaka,PF,21,OKC,82,44,27.0,4.1,7.5,0.543,0.0,0.0,0.0,4.1,7.5,0.544,0.543,1.7,2.2,0.75,2.6,5.0,7.6,0.3,0.4,2.4,0.9,3.3,9.9,17.7,0.579,0.002,0.298,11.7,20.8,16.4,1.6,0.7,6.5,9.2,15.7,4.3,3.2,7.6,0.164,-0.2,0.7,0.5,1.4,,,,,
176,2011,Andre Iguodala,SF,27,PHI,67,67,36.9,5.0,11.3,0.445,0.9,2.7,0.337,4.1,8.6,0.479,0.486,3.1,4.5,0.693,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,14.1,17.2,0.53,0.238,0.395,2.8,15.2,9.0,26.4,2.1,1.2,13.4,19.2,3.3,3.5,6.7,0.13,1.7,1.6,3.2,3.2,,,,,
177,2011,Zydrunas Ilgauskas,C,35,MIA,72,51,15.9,2.3,4.4,0.508,0.0,0.0,0.0,2.3,4.4,0.509,0.508,0.5,0.6,0.783,1.5,2.5,4.0,0.4,0.3,0.8,0.7,2.6,5.0,12.8,0.531,0.003,0.144,11.9,17.5,14.9,3.6,1.1,4.0,13.3,16.0,1.0,1.9,2.9,0.122,-3.1,0.4,-2.7,-0.2,,,,,
178,2011,D.J. Mbenga,C,30,NOH,41,0,8.0,0.6,1.2,0.469,0.0,0.0,0.0,0.6,1.2,0.469,0.469,0.3,0.4,0.722,0.9,1.2,2.1,0.1,0.1,0.7,0.5,1.3,1.4,9.7,0.518,0.0,0.367,12.8,18.9,15.9,2.7,1.0,6.8,27.0,11.3,0.0,0.6,0.5,0.076,-4.7,1.8,-2.8,-0.1,,,,,
179,2011,Ersan İlyasova,PF,23,MIL,60,34,25.1,3.7,8.5,0.436,0.6,2.0,0.298,3.1,6.4,0.479,0.471,1.6,1.7,0.894,1.8,4.3,6.1,0.9,0.9,0.4,1.1,2.7,9.5,14.3,0.516,0.239,0.205,7.9,20.7,14.1,6.6,1.8,1.3,10.2,19.1,1.1,2.7,3.8,0.121,-1.2,0.6,-0.6,0.5,,,,,
180,2011,Royal Ivey,SG,29,OKC,25,0,6.2,0.6,1.5,0.421,0.3,0.6,0.438,0.4,0.9,0.409,0.513,0.1,0.1,1.0,0.1,0.6,0.6,0.3,0.2,0.0,0.2,0.7,1.6,8.2,0.527,0.421,0.053,1.6,10.2,6.0,6.8,2.0,0.5,11.4,12.8,0.1,0.1,0.2,0.06,-3.2,0.8,-2.3,0.0,,,,,
181,2011,Darnell Jackson,PF,25,SAC,59,2,8.2,1.3,2.7,0.487,0.1,0.2,0.273,1.3,2.5,0.503,0.497,0.5,0.8,0.612,0.8,0.8,1.6,0.2,0.2,0.1,0.4,1.0,3.2,12.3,0.521,0.07,0.31,11.2,10.8,11.0,4.6,1.2,0.4,11.4,18.0,0.4,0.3,0.7,0.069,-1.9,-1.6,-3.5,-0.2,,,,,
182,2011,Stephen Jackson,SG,32,CHA,67,67,35.9,6.5,15.8,0.411,1.8,5.4,0.337,4.7,10.4,0.449,0.468,3.7,4.6,0.816,0.8,3.7,4.5,3.6,1.2,0.4,3.1,2.4,18.5,14.6,0.52,0.339,0.288,2.6,12.7,7.7,18.4,1.8,0.9,14.9,27.4,-0.2,2.1,1.9,0.039,0.2,-0.7,-0.5,0.9,,,,,
183,2011,Damion James,SF,23,NJN,25,9,16.1,1.8,4.1,0.447,0.0,0.1,0.0,1.8,4.0,0.46,0.447,0.7,1.1,0.643,0.7,2.7,3.4,0.8,0.6,0.5,1.0,1.4,4.4,10.1,0.477,0.029,0.272,4.8,20.5,12.5,8.1,2.1,2.3,17.8,16.2,-0.4,0.5,0.1,0.015,-3.8,1.1,-2.6,-0.1,,,,,
184,2011,LeBron James,SF,26,MIA,79,79,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,3.0,4.0,522.0,1210.0,0.431
185,2011,Antawn Jamison,PF,34,CLE,56,38,32.9,6.7,15.6,0.427,1.6,4.7,0.346,5.1,10.9,0.462,0.479,3.1,4.2,0.731,1.5,5.2,6.7,1.7,0.9,0.5,1.4,2.4,18.0,16.8,0.516,0.3,0.267,5.2,18.5,11.7,9.6,1.4,1.2,7.3,26.0,1.5,1.1,2.6,0.067,1.3,-1.5,-0.1,0.9,,,,,
186,2011,Al Jefferson,C,26,UTA,82,82,35.9,8.0,16.1,0.496,0.0,0.0,0.0,8.0,16.1,0.496,0.496,2.7,3.5,0.761,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.6,20.1,0.528,0.0,0.219,9.6,23.2,16.3,9.2,0.8,4.2,6.8,24.2,5.1,2.7,7.8,0.128,1.6,-1.0,0.6,1.9,,,,,
187,2011,Richard Jefferson,SF,30,SAS,81,81,30.4,3.8,7.9,0.474,1.7,3.8,0.44,2.1,4.1,0.504,0.579,1.8,2.4,0.759,0.7,3.2,3.8,1.3,0.5,0.4,1.1,2.0,11.0,12.4,0.612,0.478,0.304,2.6,11.8,7.3,6.5,0.8,1.0,11.3,15.4,3.7,2.1,5.9,0.115,0.5,-0.2,0.3,1.4,,,,,
188,2011,Brandon Jennings,PG,21,MIL,63,61,34.4,5.7,14.7,0.39,1.6,4.8,0.323,4.2,9.9,0.422,0.443,3.2,3.9,0.809,0.7,3.0,3.7,4.8,1.5,0.3,2.3,2.1,16.2,15.6,0.493,0.327,0.266,2.2,10.6,6.3,25.9,2.3,0.8,12.4,25.5,0.6,3.3,3.9,0.086,0.8,0.9,1.6,2.0,,,,,
189,2011,Eugene Jeter,PG,27,SAC,62,1,13.8,1.7,4.2,0.409,0.1,0.5,0.2,1.6,3.7,0.437,0.421,0.6,0.7,0.902,0.1,1.0,1.1,2.6,0.5,0.0,0.8,0.9,4.1,11.1,0.46,0.116,0.158,1.2,8.3,4.6,28.4,1.7,0.2,15.5,16.5,0.2,0.5,0.7,0.037,-2.2,-1.1,-3.3,-0.3,,,,,
190,2011,Yi Jianlian,PF,23,WAS,63,11,17.7,2.3,5.5,0.418,0.0,0.2,0.231,2.3,5.3,0.425,0.422,1.0,1.4,0.681,1.3,2.7,3.9,0.4,0.4,0.5,0.8,1.8,5.6,10.1,0.459,0.037,0.262,7.8,18.0,12.7,3.5,1.2,2.2,11.6,17.4,-0.4,0.8,0.4,0.016,-3.7,-1.6,-5.3,-0.9,,,,,
191,2011,Amir Johnson,PF,23,TOR,72,54,25.7,3.9,6.9,0.568,0.0,0.0,0.0,3.9,6.9,0.569,0.568,1.8,2.2,0.788,2.6,3.8,6.4,1.1,0.7,1.2,1.0,3.7,9.6,17.6,0.608,0.002,0.323,11.8,17.8,14.7,6.8,1.5,3.6,10.9,15.3,4.4,1.2,5.6,0.146,0.3,0.0,0.3,1.1,,,,,
192,2011,Armon Johnson,PG,21,POR,38,0,7.3,1.2,2.7,0.455,0.1,0.3,0.417,1.1,2.3,0.461,0.48,0.3,0.6,0.591,0.3,0.7,0.9,1.2,0.1,0.0,1.0,0.8,2.9,9.3,0.497,0.119,0.218,4.7,11.5,7.9,28.1,1.0,0.3,25.6,25.1,-0.4,0.2,-0.3,-0.044,-3.3,-1.9,-5.1,-0.2,,,,,
193,2011,Joe Johnson,SG,29,ATL,72,72,35.5,7.1,16.1,0.443,1.2,4.2,0.297,5.9,12.0,0.494,0.481,2.7,3.4,0.802,0.8,3.2,4.0,4.7,0.7,0.1,2.0,1.8,18.2,16.4,0.517,0.258,0.209,2.8,10.9,6.9,24.0,1.0,0.2,10.3,26.3,2.5,1.8,4.2,0.08,1.2,-1.5,-0.3,1.1,,,,,
194,2011,Wesley Johnson,SG,23,MIN,79,63,26.2,3.4,8.6,0.397,1.3,3.7,0.356,2.1,5.0,0.427,0.473,0.8,1.2,0.696,0.6,2.4,3.0,1.9,0.7,0.7,1.2,2.1,9.0,10.2,0.491,0.424,0.135,2.7,10.4,6.4,11.0,1.4,2.0,11.6,16.8,0.4,0.9,1.3,0.03,-1.3,-0.4,-1.7,0.2,,,,,
195,2011,Dahntay Jones,SG,30,IND,45,2,13.1,2.2,4.8,0.467,0.3,0.9,0.359,1.9,3.9,0.491,0.5,1.5,2.0,0.767,0.1,1.4,1.4,0.7,0.4,0.2,0.7,1.6,6.3,13.7,0.558,0.182,0.421,0.8,11.4,6.1,9.5,1.7,0.9,10.9,21.4,0.6,0.6,1.2,0.102,-1.7,0.5,-1.2,0.1,,,,,
196,2011,Dominique Jones,SG,22,DAL,18,0,7.5,0.8,2.5,0.311,0.0,0.2,0.0,0.8,2.3,0.341,0.311,0.8,0.9,0.824,0.3,1.1,1.4,1.1,0.3,0.2,0.6,0.4,2.3,10.6,0.4,0.089,0.378,5.4,15.9,10.8,20.8,1.9,1.7,16.0,21.7,-0.2,0.2,0.0,0.007,-2.5,1.6,-0.9,0.0,,,,,
