,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Jeff Adrien,PF,24,GSW,23,0,8.5,1.0,2.3,.426,0.0,0.0,0,1.0,2.3,.426,.426,0.5,0.8,.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,11.3,.457,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,0.1,0.1,0.2,.051,-3.3,-2.0,-5.3,-0.2,2011
1,Arron Afflalo,SG,25,DEN,69,69,33.7,4.5,9.1,.498,1.5,3.6,.423,3.0,5.5,.546,.581,2.0,2.4,.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,13.6,.620,.396,.260,2.3,9.9,6.2,10.9,0.7,1.0,9.2,14.8,4.8,1.4,6.2,.128,1.7,-0.3,1.4,2.0,2011
2,Maurice Ager,SG,26,MIN,4,0,7.3,1.5,2.8,.545,0.8,1.0,.750,0.8,1.8,.429,.682,0.0,0.0,0,0.0,0.5,0.5,0.3,0.3,0.0,1.0,1.0,3.8,10.1,.682,.364,.000,0.0,7.9,3.8,6.0,1.7,0.0,26.7,22.0,0.0,0.0,0.0,-0.015,-0.9,0.2,-0.7,0.0,2011
3,Alexis Ajinça,C,22,TOT,34,2,10.0,1.7,3.9,.444,0.4,1.0,.353,1.4,2.9,.475,.489,0.4,0.5,.722,0.5,1.8,2.3,0.3,0.3,0.6,0.5,2.1,4.2,12.2,.507,.256,.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,0.0,0.4,0.4,.052,-3.8,0.0,-3.8,-0.2,2011
4,Solomon Alabi,C,22,TOR,12,0,4.9,0.3,1.3,.200,0.0,0.0,0,0.3,1.3,.200,.200,0.0,0.2,.000,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,2.0,.189,.000,.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,-0.2,0.0,-0.2,-0.142,-6.0,-2.9,-8.9,-0.1,2011
5,Cole Aldrich,C,22,OKC,18,0,7.9,0.4,0.8,.533,0.0,0.0,0,0.4,0.8,.533,.533,0.1,0.2,.500,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,7.0,.537,.000,.267,11.1,17.5,14.4,4.0,1.8,3.6,32.3,7.9,0.0,0.2,0.2,.066,-5.6,1.6,-4.0,-0.1,2011
6,LaMarcus Aldridge,PF,25,POR,81,81,39.6,8.7,17.5,.500,0.0,0.3,.174,8.7,17.2,.505,.501,4.3,5.5,.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,21.8,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,7.6,3.5,11.1,.166,2.6,-0.5,2.1,3.4,2011
7,Malik Allen,PF,32,ORL,18,0,9.9,0.6,1.7,.355,0.0,0.0,0,0.6,1.7,.355,.355,0.1,0.1,.500,0.7,1.1,1.8,0.2,0.1,0.2,0.2,1.7,1.3,3.3,.361,.000,.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,-0.1,0.2,0.2,.046,-5.8,0.5,-5.4,-0.2,2011
8,Ray Allen*,SG,35,BOS,80,80,36.1,6.0,12.2,.491,2.1,4.7,.444,3.9,7.5,.520,.577,2.4,2.7,.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,16.5,16.4,.615,.387,.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,.166,2.3,0.6,2.9,3.6,2011
9,Tony Allen,SG,29,MEM,72,31,20.8,3.5,6.8,.510,0.1,0.3,.174,3.4,6.5,.527,.514,1.9,2.5,.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,18.4,.562,.047,.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,4.7,.152,0.1,3.5,3.6,2.1,2011
10,Al-Farouq Aminu,SF,20,LAC,81,14,17.9,2.0,5.0,.394,0.6,1.8,.315,1.4,3.2,.437,.450,1.1,1.5,.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,9.6,.499,.352,.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,-0.8,1.4,0.7,.022,-2.7,-0.1,-2.8,-0.3,2011
11,Lou Amundson,PF,28,GSW,46,7,15.0,1.8,4.0,.454,0.0,0.0,0,1.8,4.0,.454,.454,0.7,1.9,.391,1.8,2.3,4.0,0.4,0.3,0.7,0.5,1.9,4.3,11.5,.452,.000,.475,13.0,17.4,15.2,3.5,1.0,3.6,9.8,15.7,0.2,0.5,0.6,.044,-3.1,-1.4,-4.5,-0.4,2011
