   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Arron Afflalo        ,SG   ,24.0,DEN,82.0,75.0,27.1,3.3 ,7.1 ,0.465,1.3,3.0,0.434,2.0,4.1 ,0.488,0.557,0.9,1.2 ,0.735,0.7,2.4,3.1 ,1.7 ,0.6,0.4,0.9,2.7,8.8
2  ,LaMarcus Aldridge    ,PF   ,24.0,POR,78.0,78.0,37.5,7.4 ,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.497,2.9,3.9 ,0.757,2.5,5.6,8.0 ,2.1 ,0.9,0.6,1.3,3.0,17.9
3  ,Joe Alexander        ,SF   ,23.0,CHI,8.0 ,0.0 ,3.6 ,0.1 ,0.8 ,0.167,0.0,0.1,0.0  ,0.1,0.6 ,0.2  ,0.167,0.3,0.4 ,0.667,0.3,0.4,0.6 ,0.3 ,0.1,0.1,0.0,1.1,0.5
4  ,Malik Allen          ,PF   ,31.0,DEN,51.0,3.0 ,8.9 ,0.9 ,2.3 ,0.397,0.0,0.1,0.167,0.9,2.2 ,0.409,0.401,0.2,0.3 ,0.923,0.7,0.9,1.6 ,0.3 ,0.2,0.1,0.4,1.3,2.1
5  ,Ray Allen*           ,SG   ,34.0,BOS,80.0,80.0,35.2,5.8 ,12.2,0.477,1.8,5.0,0.363,4.0,7.2 ,0.556,0.551,2.9,3.2 ,0.913,0.6,2.6,3.2 ,2.6 ,0.8,0.3,1.6,2.3,16.3
6  ,Tony Allen           ,SG   ,28.0,BOS,54.0,8.0 ,16.5,2.4 ,4.7 ,0.51 ,0.0,0.1,0.0  ,2.4,4.6 ,0.52 ,0.51 ,1.3,2.2 ,0.605,1.0,1.7,2.7 ,1.3 ,1.1,0.4,1.2,2.0,6.1
7  ,Rafer Alston         ,PG   ,33.0,TOT,52.0,38.0,27.3,3.0 ,8.6 ,0.348,1.1,3.2,0.345,1.9,5.3 ,0.349,0.413,1.1,1.6 ,0.728,0.3,2.2,2.5 ,3.4 ,1.0,0.2,1.8,2.0,8.2
10 ,Lou Amundson         ,PF   ,27.0,PHO,79.0,0.0 ,14.8,1.9 ,3.5 ,0.551,0.0,0.0,0.0  ,1.9,3.5 ,0.553,0.551,0.8,1.6 ,0.545,1.6,2.8,4.4 ,0.4 ,0.3,0.9,0.7,2.1,4.7
11 ,Chris Andersen       ,PF   ,31.0,DEN,76.0,0.0 ,22.3,1.9 ,3.3 ,0.566,0.0,0.0,0.0  ,1.9,3.3 ,0.573,0.566,2.2,3.1 ,0.695,1.9,4.4,6.4 ,0.4 ,0.6,1.9,0.8,2.3,5.9
12 ,David Andersen       ,C    ,29.0,HOU,63.0,0.0 ,14.1,2.3 ,5.4 ,0.432,0.4,1.2,0.346,1.9,4.2 ,0.458,0.472,0.7,1.1 ,0.687,0.9,2.4,3.3 ,0.7 ,0.2,0.2,0.6,1.9,5.8
14 ,Ryan Anderson        ,PF   ,21.0,ORL,63.0,6.0 ,14.5,2.7 ,6.2 ,0.436,1.2,3.3,0.37 ,1.4,2.8 ,0.514,0.536,1.1,1.3 ,0.866,1.1,2.1,3.2 ,0.6 ,0.4,0.2,0.9,1.3,7.7
15 ,Carmelo Anthony      ,SF   ,25.0,DEN,69.0,69.0,38.2,10.0,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9 ,0.83 ,2.2,4.4,6.6 ,3.2 ,1.3,0.4,3.0,3.3,28.2
17 ,Gilbert Arenas       ,PG   ,28.0,WAS,32.0,32.0,36.5,7.9 ,19.3,0.411,2.0,5.7,0.348,5.9,13.6,0.437,0.462,4.8,6.5 ,0.739,0.5,3.6,4.2 ,7.2 ,1.3,0.3,3.7,3.0,22.6
18 ,Trevor Ariza         ,SF   ,24.0,HOU,72.0,71.0,36.5,5.5 ,13.9,0.394,1.9,5.7,0.334,3.6,8.2 ,0.436,0.462,2.1,3.2 ,0.649,1.1,4.5,5.6 ,3.8 ,1.8,0.6,2.2,2.3,14.9
19 ,Hilton Armstrong     ,PF-C ,25.0,TOT,33.0,0.0 ,10.2,0.8 ,2.4 ,0.354,0.0,0.0,0.0  ,0.8,2.4 ,0.359,0.354,0.5,1.0 ,0.469,0.8,1.6,2.5 ,0.6 ,0.5,0.4,0.7,1.8,2.2
23 ,Carlos Arroyo        ,PG   ,30.0,MIA,72.0,35.0,22.0,2.5 ,5.2 ,0.475,0.1,0.3,0.28 ,2.4,4.9 ,0.489,0.484,1.1,1.3 ,0.844,0.4,1.4,1.8 ,3.1 ,0.5,0.1,0.8,1.4,6.1
