   ,Player              ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST,STL,BLK,TOV,PF ,PTS
0  ,Mahmoud Abdul-Rauf  ,PG   ,31.0,VAN,41.0,0.0 ,11.9,2.9 ,6.0 ,0.488,0.1,0.3,0.286,2.8 ,5.7 ,0.5  ,0.496,0.5,0.7 ,0.759,0.1,0.5,0.6 ,1.9,0.2,0.0,0.6,1.2,6.5
1  ,Tariq Abdul-Wahad   ,SG   ,26.0,DEN,29.0,12.0,14.5,1.5 ,3.8 ,0.387,0.1,0.3,0.4  ,1.3 ,3.5 ,0.386,0.405,0.7,1.2 ,0.583,0.5,1.6,2.0 ,0.8,0.5,0.4,1.2,1.9,3.8
2  ,Shareef Abdur-Rahim ,SF   ,24.0,VAN,81.0,81.0,40.0,7.5 ,15.8,0.472,0.1,0.8,0.188,7.3 ,15.0,0.487,0.477,5.5,6.6 ,0.834,2.2,6.9,9.1 ,3.1,1.1,1.0,2.9,2.9,20.5
3  ,Cory Alexander      ,PG   ,27.0,ORL,26.0,0.0 ,8.7 ,0.7 ,2.2 ,0.321,0.2,0.6,0.25 ,0.5 ,1.5 ,0.35 ,0.357,0.5,0.7 ,0.667,0.0,1.0,1.0 ,1.4,0.6,0.0,1.0,1.1,2.0
4  ,Courtney Alexander  ,PG   ,23.0,TOT,65.0,24.0,21.3,3.7 ,8.8 ,0.417,0.3,0.7,0.37 ,3.4 ,8.1 ,0.421,0.432,1.9,2.3 ,0.82 ,0.6,1.6,2.2 ,1.0,0.7,0.1,1.2,2.1,9.5
7  ,Ray Allen*          ,SG   ,25.0,MIL,82.0,82.0,38.2,7.7 ,16.0,0.48 ,2.5,5.7,0.433,5.2 ,10.3,0.506,0.557,4.2,4.8 ,0.888,1.2,4.0,5.2 ,4.6,1.5,0.2,2.5,2.3,22.0
8  ,Rafer Alston        ,PG   ,24.0,MIL,37.0,2.0 ,7.8 ,0.8 ,2.3 ,0.357,0.2,0.8,0.267,0.6 ,1.5 ,0.407,0.405,0.2,0.4 ,0.692,0.1,0.7,0.8 ,1.8,0.4,0.0,0.5,0.7,2.1
9  ,John Amaechi        ,C    ,30.0,ORL,82.0,36.0,20.9,2.9 ,7.2 ,0.4  ,0.0,0.1,0.0  ,2.9 ,7.1 ,0.405,0.4  ,2.1,3.4 ,0.631,0.9,2.3,3.3 ,0.9,0.3,0.4,1.5,2.1,7.9
10 ,Derek Anderson      ,SG   ,26.0,SAS,82.0,82.0,34.9,5.0 ,12.1,0.416,1.2,3.1,0.399,3.8 ,9.0 ,0.422,0.467,4.2,4.9 ,0.851,0.9,3.5,4.4 ,3.7,1.5,0.2,2.0,2.3,15.5
11 ,Kenny Anderson      ,PG   ,30.0,BOS,33.0,28.0,25.7,2.7 ,6.9 ,0.388,0.3,1.0,0.333,2.3 ,5.9 ,0.397,0.412,1.8,2.2 ,0.831,0.5,1.7,2.2 ,4.1,1.3,0.1,1.6,1.9,7.5
13 ,Shandon Anderson    ,SG   ,27.0,HOU,82.0,82.0,29.2,3.2 ,7.2 ,0.446,0.6,2.1,0.271,2.6 ,5.1 ,0.517,0.485,1.7,2.3 ,0.734,0.9,3.2,4.1 ,2.3,1.0,0.5,1.6,2.5,8.7
14 ,Greg Anthony        ,PG   ,33.0,POR,58.0,0.0 ,14.8,1.7 ,4.4 ,0.383,1.1,2.7,0.409,0.6 ,1.6 ,0.34 ,0.512,0.4,0.6 ,0.657,0.4,0.7,1.1 ,1.4,0.7,0.1,0.7,1.1,4.9
15 ,Darrell Armstrong   ,PG   ,32.0,ORL,75.0,75.0,36.9,5.5 ,13.4,0.412,1.9,5.4,0.355,3.6 ,8.0 ,0.451,0.484,2.9,3.3 ,0.884,1.3,3.3,4.6 ,7.0,1.8,0.2,2.7,2.1,15.9
16 ,Chucky Atkins       ,PG   ,26.0,DET,81.0,75.0,29.2,4.7 ,11.8,0.399,1.5,4.2,0.357,3.2 ,7.6 ,0.423,0.463,1.1,1.6 ,0.692,0.3,1.8,2.1 ,4.1,0.8,0.1,1.8,2.3,12.0
17 ,Stacey Augmon       ,SG   ,32.0,POR,66.0,23.0,17.9,1.9 ,4.0 ,0.477,0.0,0.1,0.0  ,1.9 ,4.0 ,0.485,0.477,0.9,1.3 ,0.655,0.9,1.5,2.4 ,1.5,0.7,0.3,0.7,1.6,4.7
18 ,Isaac Austin        ,C    ,31.0,VAN,52.0,16.0,16.3,1.8 ,5.2 ,0.356,0.1,0.5,0.25 ,1.7 ,4.7 ,0.366,0.367,0.5,0.8 ,0.7  ,1.0,3.3,4.3 ,1.1,0.4,0.4,1.0,1.8,4.3
19 ,William Avery       ,PG   ,21.0,MIN,55.0,0.0 ,8.4 ,1.0 ,2.6 ,0.382,0.3,1.1,0.271,0.7 ,1.5 ,0.459,0.438,0.5,0.7 ,0.778,0.1,0.4,0.5 ,1.4,0.2,0.1,0.8,0.9,2.8
20 ,Dalibor Bagarić     ,C    ,20.0,CHI,35.0,0.0 ,7.4 ,0.5 ,1.9 ,0.262,0.0,0.0,0.0  ,0.5 ,1.8 ,0.266,0.262,0.4,0.8 ,0.464,0.6,1.0,1.6 ,0.3,0.3,0.5,0.6,1.3,1.3
21 ,Vin Baker           ,PF   ,29.0,SEA,76.0,27.0,28.0,4.6 ,10.8,0.422,0.0,0.2,0.063,4.6 ,10.6,0.429,0.423,3.1,4.2 ,0.723,2.4,3.3,5.7 ,1.2,0.5,1.0,2.1,3.5,12.2
24 ,Dana Barros         ,PG   ,33.0,DET,60.0,0.0 ,18.0,3.1 ,6.9 ,0.444,0.7,1.8,0.419,2.3 ,5.1 ,0.453,0.498,1.1,1.3 ,0.85 ,0.1,1.5,1.6 ,1.8,0.5,0.0,1.0,1.1,8.0
25 ,Brent Barry         ,SG   ,29.0,SEA,67.0,20.0,26.5,3.0 ,6.0 ,0.494,1.6,3.4,0.476,1.3 ,2.6 ,0.517,0.63 ,1.3,1.5 ,0.816,0.5,2.7,3.1 ,3.4,1.2,0.2,1.3,1.9,8.8
26 ,Jon Barry           ,SG   ,31.0,SAC,62.0,2.0 ,16.3,1.7 ,4.1 ,0.404,0.7,2.1,0.348,0.9 ,2.0 ,0.463,0.494,1.0,1.2 ,0.877,0.3,1.3,1.5 ,2.1,0.5,0.1,0.9,1.1,5.1
27 ,Tony Battie         ,C    ,24.0,BOS,40.0,25.0,21.1,2.7 ,5.0 ,0.537,0.0,0.1,0.0  ,2.7 ,5.0 ,0.545,0.537,1.1,1.7 ,0.638,1.8,4.0,5.8 ,0.4,0.7,1.5,0.9,3.2,6.5
29 ,Jonathan Bender     ,SF   ,20.0,IND,59.0,7.0 ,9.7 ,1.1 ,3.2 ,0.355,0.2,0.7,0.268,0.9 ,2.5 ,0.379,0.384,0.8,1.2 ,0.735,0.2,1.0,1.3 ,0.5,0.1,0.5,0.7,1.2,3.3
30 ,Corey Benjamin      ,PG   ,22.0,CHI,65.0,5.0 ,13.2,1.8 ,4.6 ,0.381,0.3,1.2,0.259,1.4 ,3.4 ,0.425,0.416,0.9,1.3 ,0.675,0.6,1.0,1.5 ,1.1,0.4,0.2,1.0,2.0,4.7
31 ,David Benoit        ,SF   ,32.0,UTA,49.0,2.0 ,9.1 ,1.4 ,3.0 ,0.483,0.1,0.3,0.385,1.3 ,2.7 ,0.493,0.5  ,0.6,0.8 ,0.795,0.4,1.2,1.7 ,0.4,0.1,0.1,0.6,1.5,3.6
32 ,Travis Best         ,PG   ,28.0,IND,77.0,21.0,31.9,4.5 ,10.2,0.44 ,0.5,1.3,0.381,4.0 ,9.0 ,0.449,0.464,2.4,2.9 ,0.827,0.5,2.4,2.9 ,6.1,1.4,0.1,1.6,3.2,11.9
33 ,Mike Bibby          ,PG   ,22.0,VAN,82.0,82.0,38.9,6.4 ,14.1,0.454,1.3,3.5,0.379,5.1 ,10.6,0.478,0.5  ,1.7,2.3 ,0.761,0.6,3.1,3.7 ,8.4,1.3,0.1,3.0,1.8,15.9
34 ,Chauncey Billups    ,SG   ,24.0,MIN,77.0,33.0,23.2,3.2 ,7.6 ,0.422,0.9,2.5,0.376,2.3 ,5.1 ,0.445,0.485,1.9,2.2 ,0.842,0.4,1.6,2.1 ,3.4,0.7,0.1,1.4,2.3,9.3
35 ,Mookie Blaylock     ,PG   ,33.0,GSW,69.0,59.0,34.1,4.6 ,11.6,0.396,1.1,3.3,0.324,3.5 ,8.3 ,0.424,0.441,0.8,1.1 ,0.697,1.0,2.9,3.9 ,6.7,2.4,0.3,1.9,1.9,11.0
36 ,Corie Blount        ,PF   ,32.0,TOT,68.0,6.0 ,19.2,1.9 ,4.3 ,0.442,0.0,0.1,0.25 ,1.9 ,4.2 ,0.448,0.446,0.8,1.2 ,0.614,2.7,3.2,5.9 ,0.9,0.6,0.3,1.1,2.4,4.6
45 ,Cal Bowdler         ,SF   ,23.0,ATL,44.0,0.0 ,8.5 ,1.2 ,2.6 ,0.465,0.0,0.1,0.2  ,1.2 ,2.5 ,0.477,0.469,0.8,0.9 ,0.825,0.7,1.1,1.8 ,0.1,0.2,0.5,0.3,1.0,3.2
46 ,Bruce Bowen         ,SF   ,29.0,MIA,82.0,72.0,32.7,2.6 ,7.1 ,0.363,1.3,3.7,0.336,1.3 ,3.3 ,0.394,0.452,1.2,2.0 ,0.609,0.5,2.4,3.0 ,1.6,1.0,0.6,0.9,3.3,7.6
48 ,Ryan Bowen          ,SF   ,25.0,DEN,57.0,0.0 ,12.2,1.4 ,2.5 ,0.556,0.1,0.2,0.364,1.3 ,2.3 ,0.571,0.569,0.5,0.8 ,0.614,1.1,0.9,2.0 ,0.5,0.6,0.2,0.4,1.7,3.4
50 ,Earl Boykins        ,PG   ,24.0,LAC,10.0,0.0 ,14.9,2.5 ,6.3 ,0.397,0.1,0.8,0.125,2.4 ,5.5 ,0.436,0.405,1.4,1.7 ,0.824,0.4,0.7,1.1 ,3.2,0.5,0.0,0.9,0.9,6.5
51 ,Shawn Bradley       ,C    ,28.0,DAL,82.0,35.0,24.4,2.7 ,5.5 ,0.49 ,0.0,0.1,0.167,2.7 ,5.4 ,0.494,0.491,1.7,2.2 ,0.787,2.0,5.5,7.4 ,0.5,0.4,2.8,1.1,3.1,7.1
52 ,Elton Brand         ,PF   ,21.0,CHI,74.0,74.0,39.3,7.8 ,16.4,0.476,0.0,0.0,0.0  ,7.8 ,16.4,0.477,0.476,4.5,6.4 ,0.708,3.9,6.2,10.1,3.2,1.0,1.6,3.0,3.3,20.1
53 ,Terrell Brandon     ,PG   ,30.0,MIN,78.0,78.0,36.2,6.6 ,14.5,0.451,0.4,1.2,0.363,6.1 ,13.4,0.458,0.465,2.5,2.9 ,0.871,0.8,3.1,3.8 ,7.5,2.1,0.3,2.0,1.8,16.0
54 ,Chucky Brown        ,SF   ,32.0,TOT,26.0,2.0 ,13.0,1.5 ,3.7 ,0.421,0.0,0.1,0.0  ,1.5 ,3.5 ,0.435,0.421,0.8,1.3 ,0.647,0.3,1.8,2.1 ,0.4,0.3,0.3,0.3,1.4,3.9
57 ,Dee Brown           ,PG   ,32.0,ORL,7.0 ,0.0 ,22.1,2.3 ,6.3 ,0.364,1.7,4.6,0.375,0.6 ,1.7 ,0.333,0.5  ,0.6,0.7 ,0.8  ,0.0,1.6,1.6 ,1.7,0.6,0.0,1.0,1.4,6.9
58 ,P.J. Brown          ,C    ,31.0,CHH,80.0,79.0,35.1,3.1 ,7.0 ,0.444,0.0,0.1,0.0  ,3.1 ,7.0 ,0.447,0.444,2.2,2.6 ,0.852,3.2,6.1,9.3 ,1.6,1.0,1.2,1.4,3.3,8.5
59 ,Randy Brown         ,PG   ,32.0,BOS,54.0,35.0,22.9,1.9 ,4.4 ,0.422,0.0,0.1,0.0  ,1.9 ,4.3 ,0.427,0.422,0.4,0.7 ,0.575,0.4,1.4,1.8 ,2.9,1.1,0.2,1.0,2.4,4.1
60 ,Rick Brunson        ,PG   ,28.0,TOT,22.0,0.0 ,9.5 ,0.8 ,2.5 ,0.333,0.1,0.6,0.143,0.7 ,1.8 ,0.4  ,0.352,0.4,0.7 ,0.533,0.2,0.7,1.0 ,1.4,0.4,0.0,0.8,1.0,2.1
63 ,Kobe Bryant*        ,SG   ,22.0,LAL,68.0,68.0,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4 ,19.3,0.489,0.484,7.0,8.2 ,0.853,1.5,4.3,5.9 ,5.0,1.7,0.6,3.2,3.3,28.5
65 ,Greg Buckner        ,SG   ,24.0,DAL,37.0,9.0 ,22.2,2.3 ,5.2 ,0.438,0.1,0.2,0.286,2.2 ,5.0 ,0.443,0.443,1.6,2.2 ,0.728,1.6,2.6,4.2 ,1.3,0.9,0.2,0.7,3.2,6.2
66 ,Jud Buechler        ,SF   ,32.0,DET,57.0,3.0 ,12.9,1.3 ,2.9 ,0.463,0.6,1.4,0.416,0.8 ,1.5 ,0.506,0.561,0.2,0.2 ,0.75 ,0.4,1.3,1.6 ,0.7,0.4,0.2,0.4,1.5,3.4
67 ,Rodney Buford       ,SF   ,23.0,PHI,47.0,0.0 ,12.2,2.2 ,5.1 ,0.432,0.3,0.8,0.421,1.9 ,4.3 ,0.433,0.465,0.5,0.6 ,0.828,0.3,1.2,1.6 ,0.4,0.4,0.1,0.6,1.4,5.3
68 ,Matt Bullard        ,PF   ,33.0,HOU,61.0,5.0 ,16.4,2.1 ,5.0 ,0.423,1.4,3.5,0.404,0.7 ,1.5 ,0.467,0.564,0.2,0.2 ,0.714,0.4,1.8,2.1 ,0.7,0.2,0.1,0.2,1.2,5.8
69 ,Scott Burrell       ,SF   ,30.0,CHH,4.0 ,0.0 ,10.3,1.8 ,3.8 ,0.467,0.5,1.5,0.333,1.3 ,2.3 ,0.556,0.533,0.3,1.0 ,0.25 ,0.3,0.5,0.8 ,0.3,0.8,0.0,0.0,2.0,4.3
71 ,Marcus Camby        ,C    ,26.0,NYK,63.0,63.0,33.8,4.8 ,9.2 ,0.524,0.0,0.1,0.125,4.8 ,9.1 ,0.53 ,0.525,2.4,3.6 ,0.667,3.1,8.4,11.5,0.8,1.0,2.2,1.0,3.3,12.0
73 ,Elden Campbell      ,PF   ,32.0,CHH,78.0,78.0,30.0,4.7 ,10.7,0.44 ,0.0,0.1,0.0  ,4.7 ,10.6,0.443,0.44 ,3.7,5.2 ,0.709,2.0,5.8,7.8 ,1.3,0.8,1.8,1.8,3.6,13.1
74 ,Brian Cardinal      ,PF   ,23.0,DET,15.0,0.0 ,8.4 ,0.7 ,2.1 ,0.323,0.0,0.3,0.0  ,0.7 ,1.7 ,0.385,0.323,0.7,1.2 ,0.611,0.5,1.0,1.5 ,0.2,0.5,0.1,0.6,1.8,2.1
75 ,Chris Carr          ,SG   ,26.0,BOS,35.0,0.0 ,8.8 ,1.5 ,3.2 ,0.473,0.5,1.1,0.459,1.0 ,2.1 ,0.48 ,0.549,1.3,1.7 ,0.767,0.3,0.9,1.3 ,0.3,0.1,0.1,0.5,1.3,4.8
76 ,Anthony Carter      ,PG   ,25.0,MIA,72.0,6.0 ,22.6,2.7 ,6.7 ,0.406,0.1,0.6,0.15 ,2.6 ,6.1 ,0.43 ,0.413,0.9,1.4 ,0.631,0.6,1.9,2.5 ,3.7,1.0,0.1,1.7,2.1,6.4
77 ,Vince Carter        ,SF   ,24.0,TOR,75.0,75.0,39.7,10.2,22.1,0.46 ,2.2,5.3,0.408,8.0 ,16.8,0.477,0.509,5.1,6.7 ,0.765,2.3,3.2,5.5 ,3.9,1.5,1.1,2.2,2.7,27.6
78 ,Sam Cassell         ,PG   ,31.0,MIL,76.0,75.0,35.6,7.1 ,14.9,0.474,0.4,1.3,0.306,6.7 ,13.6,0.49 ,0.488,3.6,4.3 ,0.858,0.6,3.2,3.8 ,7.6,1.2,0.1,2.9,2.8,18.2
81 ,Cedric Ceballos     ,SF   ,31.0,TOT,40.0,0.0 ,14.0,2.5 ,5.7 ,0.441,0.6,1.8,0.301,2.0 ,3.9 ,0.506,0.489,0.9,1.1 ,0.86 ,0.9,1.8,2.7 ,0.5,0.4,0.2,0.8,1.5,6.5
85 ,Chris Childs        ,PG   ,33.0,TOT,77.0,5.0 ,24.1,1.8 ,4.4 ,0.403,0.4,1.4,0.302,1.3 ,3.0 ,0.45 ,0.451,0.8,0.9 ,0.845,0.3,2.3,2.6 ,4.6,0.8,0.2,2.0,3.1,4.7
88 ,Doug Christie       ,SG   ,30.0,SAC,81.0,81.0,36.3,3.8 ,9.7 ,0.395,1.2,3.1,0.376,2.7 ,6.6 ,0.403,0.454,3.5,3.9 ,0.897,1.2,3.2,4.4 ,3.6,2.3,0.6,1.9,2.8,12.3
89 ,Keon Clark          ,PF   ,25.0,TOT,81.0,3.0 ,21.2,3.1 ,6.4 ,0.48 ,0.0,0.0,0.0  ,3.1 ,6.4 ,0.481,0.48 ,1.8,3.0 ,0.592,1.7,3.7,5.4 ,0.9,0.4,1.9,1.1,3.0,7.9
92 ,Mateen Cleaves      ,PG   ,23.0,DET,78.0,8.0 ,16.3,2.1 ,5.1 ,0.4  ,0.1,0.2,0.294,2.0 ,4.9 ,0.405,0.406,1.2,1.8 ,0.708,0.3,1.4,1.7 ,2.7,0.6,0.0,1.8,2.0,5.4
94 ,Derrick Coleman     ,PF   ,33.0,CHH,34.0,3.0 ,20.1,2.9 ,7.5 ,0.38 ,0.6,1.5,0.392,2.3 ,6.0 ,0.377,0.42 ,1.9,2.7 ,0.685,1.4,4.1,5.4 ,1.1,0.3,0.6,1.2,1.6,8.1
95 ,Bimbo Coles         ,PG   ,32.0,CLE,47.0,0.0 ,17.1,1.9 ,5.1 ,0.381,0.0,0.3,0.125,1.9 ,4.7 ,0.399,0.385,1.0,1.2 ,0.857,0.2,0.8,1.0 ,2.9,0.6,0.1,1.3,1.9,4.9
96 ,Jason Collier       ,C    ,23.0,HOU,23.0,0.0 ,9.7 ,1.2 ,3.1 ,0.38 ,0.0,0.0,0.0  ,1.2 ,3.0 ,0.386,0.38 ,0.7,1.0 ,0.708,0.5,1.1,1.6 ,0.3,0.1,0.1,0.5,1.2,3.1
97 ,Sean Colson         ,PG   ,25.0,TOT,13.0,0.0 ,3.4 ,0.5 ,1.8 ,0.25 ,0.1,0.4,0.2  ,0.4 ,1.5 ,0.263,0.271,0.2,0.3 ,0.5  ,0.2,0.3,0.5 ,0.8,0.1,0.0,0.2,0.5,1.2
100,Tyrone Corbin       ,SF   ,38.0,TOR,15.0,1.0 ,7.8 ,0.6 ,2.5 ,0.237,0.0,0.3,0.0  ,0.6 ,2.2 ,0.273,0.237,0.1,0.3 ,0.5  ,0.2,0.7,0.9 ,0.3,0.1,0.0,0.2,1.2,1.3
102,Chris Crawford      ,PF   ,25.0,ATL,47.0,22.0,19.2,2.6 ,5.7 ,0.452,0.1,0.5,0.273,2.5 ,5.3 ,0.468,0.463,1.4,1.8 ,0.819,0.6,1.7,2.3 ,0.8,0.4,0.3,1.3,2.5,6.8
103,Jamal Crawford      ,PG   ,20.0,CHI,61.0,8.0 ,17.2,1.8 ,5.0 ,0.352,0.7,1.9,0.35 ,1.1 ,3.1 ,0.353,0.419,0.4,0.6 ,0.794,0.1,1.3,1.5 ,2.3,0.7,0.2,1.4,1.1,4.6
104,Austin Croshere     ,PF   ,25.0,IND,81.0,23.0,23.1,3.4 ,8.7 ,0.394,0.9,2.6,0.338,2.5 ,6.1 ,0.417,0.444,2.5,2.9 ,0.866,1.5,3.3,4.8 ,1.1,0.4,0.6,1.7,2.2,10.1
105,John Crotty         ,PG   ,31.0,UTA,31.0,0.0 ,8.5 ,0.7 ,2.1 ,0.338,0.1,0.2,0.571,0.6 ,1.9 ,0.31 ,0.369,0.5,0.6 ,0.895,0.4,0.5,0.9 ,1.1,0.2,0.0,0.6,1.0,2.1
106,Vonteego Cummings   ,PG   ,24.0,GSW,66.0,11.0,22.7,2.7 ,7.8 ,0.344,0.7,2.2,0.336,2.0 ,5.7 ,0.348,0.391,1.2,1.8 ,0.681,0.7,1.4,2.1 ,3.4,1.0,0.2,1.4,2.4,7.3
107,Bill Curley         ,PF   ,28.0,TOT,20.0,2.0 ,9.6 ,1.3 ,2.4 ,0.532,0.1,0.1,0.5  ,1.2 ,2.3 ,0.533,0.543,0.6,1.0 ,0.632,1.1,0.8,1.9 ,0.2,0.4,0.5,0.8,2.3,3.2
110,Dell Curry          ,SG   ,36.0,TOR,71.0,1.0 ,13.5,2.3 ,5.4 ,0.424,0.9,2.0,0.428,1.4 ,3.3 ,0.422,0.505,0.6,0.7 ,0.843,0.2,1.0,1.2 ,1.1,0.4,0.1,0.5,0.9,6.0
111,Michael Curry       ,SG   ,32.0,DET,68.0,58.0,21.8,2.1 ,4.7 ,0.455,0.1,0.1,0.444,2.1 ,4.6 ,0.455,0.461,0.9,1.1 ,0.849,0.3,1.5,1.8 ,1.9,0.4,0.0,0.9,2.5,5.2
112,Erick Dampier       ,C    ,25.0,GSW,43.0,26.0,24.1,2.9 ,7.3 ,0.401,0.0,0.0,0.0  ,2.9 ,7.3 ,0.404,0.401,1.6,2.9 ,0.532,2.3,3.6,5.8 ,1.4,0.4,1.3,1.9,2.9,7.4
113,Antonio Daniels     ,PG   ,25.0,SAS,79.0,23.0,26.1,3.5 ,7.4 ,0.468,0.9,2.3,0.404,2.5 ,5.1 ,0.496,0.531,1.5,2.0 ,0.776,0.3,1.7,2.1 ,3.8,0.8,0.2,1.4,1.5,9.4
117,Antonio Davis       ,C    ,32.0,TOR,78.0,77.0,35.0,4.8 ,11.1,0.433,0.0,0.0,0.0  ,4.8 ,11.1,0.434,0.433,4.1,5.4 ,0.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7
118,Baron Davis         ,PG   ,21.0,CHH,82.0,82.0,38.9,5.0 ,11.7,0.427,1.0,3.3,0.31 ,4.0 ,8.3 ,0.474,0.472,2.8,4.1 ,0.677,1.6,3.4,5.0 ,7.3,2.1,0.4,2.8,3.3,13.8
119,Dale Davis          ,C    ,31.0,POR,81.0,43.0,26.7,3.0 ,6.0 ,0.497,0.0,0.0,0.0  ,3.0 ,6.0 ,0.501,0.497,1.2,1.9 ,0.632,2.9,4.6,7.5 ,1.3,0.5,0.9,0.8,2.5,7.2
120,Emanual Davis       ,SG   ,32.0,SEA,62.0,39.0,20.8,2.1 ,5.1 ,0.418,0.8,2.0,0.394,1.3 ,3.1 ,0.435,0.497,0.7,0.9 ,0.818,0.5,2.0,2.5 ,2.2,1.0,0.2,1.2,1.6,5.8
121,Hubert Davis        ,PG   ,30.0,TOT,66.0,18.0,25.6,3.0 ,6.6 ,0.453,1.2,2.6,0.456,1.8 ,4.0 ,0.45 ,0.543,0.8,0.9 ,0.871,0.4,1.7,2.1 ,1.7,0.5,0.0,1.2,1.8,7.9
124,Ricky Davis         ,SG   ,21.0,MIA,7.0 ,0.0 ,10.0,1.7 ,4.1 ,0.414,0.1,0.1,1.0  ,1.6 ,4.0 ,0.393,0.431,1.0,1.1 ,0.875,0.1,0.9,1.0 ,1.6,0.7,0.3,0.7,1.0,4.6
126,Todd Day            ,SG   ,31.0,MIN,31.0,0.0 ,11.1,1.4 ,3.8 ,0.373,0.8,2.2,0.377,0.6 ,1.6 ,0.367,0.483,0.6,0.7 ,0.783,0.3,0.9,1.2 ,0.9,0.3,0.2,0.8,1.7,4.3
129,Vinny Del Negro     ,PG   ,34.0,TOT,65.0,1.0 ,14.2,1.6 ,3.6 ,0.453,0.0,0.2,0.077,1.6 ,3.4 ,0.475,0.455,0.6,0.7 ,0.932,0.2,1.1,1.3 ,1.9,0.4,0.0,0.5,1.2,3.9
132,Tony Delk           ,SG   ,27.0,PHO,82.0,11.0,27.9,4.7 ,11.3,0.415,0.7,2.0,0.321,4.0 ,9.2 ,0.436,0.444,2.3,2.9 ,0.787,0.9,2.3,3.2 ,2.0,0.9,0.2,1.2,2.1,12.3
133,Derrick Dial        ,SG   ,25.0,SAS,33.0,0.0 ,6.3 ,1.1 ,2.5 ,0.434,0.1,0.3,0.2  ,1.0 ,2.2 ,0.466,0.446,0.4,0.6 ,0.571,0.4,0.8,1.2 ,0.6,0.1,0.2,0.4,0.7,2.6
134,Michael Dickerson   ,SG   ,25.0,VAN,70.0,69.0,37.4,6.1 ,14.6,0.417,1.2,3.3,0.374,4.8 ,11.3,0.429,0.459,2.9,3.9 ,0.763,1.0,2.3,3.3 ,3.3,0.9,0.4,2.3,3.0,16.3
135,Vlade Divac*        ,C    ,32.0,SAC,81.0,81.0,29.9,4.5 ,9.3 ,0.482,0.0,0.2,0.286,4.4 ,9.1 ,0.486,0.485,3.0,4.3 ,0.691,2.6,5.8,8.3 ,2.9,1.1,1.1,2.4,3.0,12.0
136,Michael Doleac      ,C    ,23.0,ORL,77.0,21.0,18.2,2.9 ,6.8 ,0.417,0.0,0.0,0.0  ,2.9 ,6.8 ,0.42 ,0.417,0.6,0.8 ,0.847,0.9,2.6,3.5 ,0.8,0.5,0.5,0.8,3.1,6.4
137,Keyon Dooling       ,PG   ,20.0,LAC,76.0,1.0 ,16.3,1.9 ,4.8 ,0.409,0.4,1.1,0.35 ,1.6 ,3.7 ,0.426,0.448,1.6,2.4 ,0.698,0.1,1.1,1.2 ,2.3,0.5,0.1,1.2,1.4,5.9
138,Sherman Douglas     ,PG   ,34.0,NJN,59.0,7.0 ,18.5,2.1 ,5.1 ,0.403,0.1,0.7,0.2  ,1.9 ,4.5 ,0.433,0.416,1.5,1.9 ,0.748,0.4,0.9,1.3 ,2.4,0.6,0.1,1.3,1.6,5.7
139,Bryce Drew          ,PG   ,26.0,CHI,48.0,41.0,27.2,2.6 ,6.8 ,0.379,0.8,2.2,0.381,1.8 ,4.6 ,0.378,0.44 ,0.3,0.4 ,0.737,0.3,1.2,1.4 ,3.9,0.7,0.1,1.4,2.1,6.3
