   ,Player                ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Kareem Abdul-Jabbar*  ,C    ,38.0,LAL,79.0,79.0,33.3,9.6 ,16.9,0.564,0.0,0.0,0.0  ,9.6 ,16.9,0.565,0.564,4.3,5.6 ,0.765,1.7,4.4,6.1 ,3.5 ,0.8,1.6,2.6,3.1,23.4
1  ,Alvan Adams           ,C    ,31.0,PHO,78.0,45.0,25.7,4.4 ,8.7 ,0.502,0.0,0.0,0.0  ,4.4 ,8.7 ,0.504,0.502,2.0,2.6 ,0.783,1.9,4.2,6.1 ,4.2 ,1.3,0.6,2.6,3.5,10.8
2  ,Michael Adams         ,PG   ,23.0,SAC,18.0,0.0 ,7.7 ,0.9 ,2.4 ,0.364,0.0,0.2,0.0  ,0.9 ,2.3 ,0.39 ,0.364,0.4,0.7 ,0.667,0.1,0.2,0.3 ,1.2 ,0.5,0.1,0.6,0.5,2.2
3  ,Mark Aguirre          ,SF   ,26.0,DAL,74.0,73.0,33.8,9.0 ,17.9,0.503,0.2,0.8,0.286,8.8 ,17.2,0.513,0.509,4.3,6.1 ,0.705,2.4,3.6,6.0 ,4.6 ,0.8,0.2,3.4,3.1,22.6
4  ,Danny Ainge           ,SG   ,26.0,BOS,80.0,78.0,30.1,4.4 ,8.8 ,0.504,0.3,0.9,0.356,4.1 ,7.9 ,0.521,0.522,1.5,1.7 ,0.904,0.6,2.4,2.9 ,5.1 ,1.2,0.1,1.6,2.6,10.7
5  ,Ron Anderson          ,SF   ,27.0,TOT,77.0,30.0,21.8,4.0 ,8.2 ,0.494,0.0,0.1,0.222,4.0 ,8.0 ,0.498,0.495,1.1,1.6 ,0.669,1.7,1.9,3.6 ,1.9 ,0.7,0.1,1.1,1.6,9.2
8  ,John Bagley           ,PG   ,25.0,CLE,78.0,77.0,31.7,4.7 ,11.1,0.423,0.1,0.5,0.243,4.6 ,10.6,0.431,0.428,2.2,2.8 ,0.791,1.0,2.6,3.5 ,9.4 ,1.6,0.1,3.1,2.1,11.7
9  ,James Bailey          ,PF   ,28.0,NYK,48.0,36.0,25.9,4.2 ,9.2 ,0.456,0.0,0.1,0.0  ,4.2 ,9.1 ,0.46 ,0.456,2.7,3.5 ,0.772,2.1,4.8,7.0 ,1.0 ,0.7,0.8,2.1,4.3,11.1
10 ,Thurl Bailey          ,PF   ,24.0,UTA,82.0,13.0,28.8,5.9 ,13.1,0.448,0.0,0.1,0.0  ,5.9 ,13.0,0.451,0.448,2.8,3.4 ,0.83 ,1.8,4.2,6.0 ,1.9 ,0.5,1.4,1.8,2.0,14.6
11 ,Greg Ballard          ,SF   ,31.0,GSW,75.0,14.0,23.9,3.6 ,7.6 ,0.477,0.2,0.5,0.486,3.4 ,7.1 ,0.477,0.492,1.3,1.7 ,0.802,1.8,3.8,5.6 ,1.1 ,0.9,0.1,0.7,2.3,8.8
12 ,Gene Banks            ,SF   ,26.0,CHI,82.0,33.0,26.1,4.3 ,8.4 ,0.517,0.0,0.2,0.0  ,4.3 ,8.2 ,0.532,0.517,2.2,3.1 ,0.718,2.2,2.2,4.4 ,3.1 ,1.0,0.1,1.7,2.6,10.9
13 ,Ken Bannister         ,PF   ,25.0,NYK,70.0,15.0,20.1,3.4 ,6.8 ,0.491,0.0,0.0,0.0  ,3.4 ,6.8 ,0.492,0.491,1.9,3.6 ,0.526,1.3,3.3,4.6 ,0.6 ,0.6,0.3,1.8,3.0,8.6
14 ,Charles Barkley*      ,PF   ,22.0,PHI,80.0,80.0,36.9,7.4 ,13.0,0.572,0.2,0.9,0.227,7.2 ,12.1,0.598,0.58 ,5.0,7.2 ,0.685,4.4,8.4,12.8,3.9 ,2.2,1.6,4.4,4.2,20.0
15 ,John Battle           ,SG   ,23.0,ATL,64.0,0.0 ,10.0,1.6 ,3.5 ,0.455,0.0,0.1,0.0  ,1.6 ,3.4 ,0.47 ,0.455,1.2,1.6 ,0.728,0.2,0.8,1.0 ,1.2 ,0.4,0.0,0.7,1.3,4.3
16 ,Benoit Benjamin       ,C    ,21.0,LAC,79.0,37.0,26.4,4.1 ,8.4 ,0.49 ,0.0,0.0,0.333,4.1 ,8.3 ,0.491,0.491,2.9,3.9 ,0.746,2.0,5.6,7.6 ,1.0 ,0.8,2.6,1.8,3.6,11.1
17 ,Kent Benson           ,C    ,31.0,DET,72.0,51.0,18.7,2.8 ,5.8 ,0.484,0.0,0.0,0.5  ,2.8 ,5.7 ,0.484,0.486,0.9,1.2 ,0.795,1.6,3.6,5.2 ,1.1 ,0.8,0.7,0.8,2.7,6.5
18 ,Larry Bird*           ,SF   ,29.0,BOS,82.0,81.0,38.0,9.7 ,19.6,0.496,1.0,2.4,0.423,8.7 ,17.2,0.506,0.521,5.4,6.0 ,0.896,2.3,7.5,9.8 ,6.8 ,2.0,0.6,3.2,2.2,25.8
