   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA,3P%  ,2P  ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Alaa Abdelnaby       ,PF   ,24.0,TOT,75.0,52.0,17.5,3.3 ,6.3 ,0.518,0.0,0.0,0.0  ,3.3 ,6.3 ,0.519,0.518,1.2,1.5 ,0.759,1.7,2.8 ,4.5 ,0.4 ,0.3,0.3,1.3,2.5,7.7
3  ,Mahmoud Abdul-Rauf   ,PG   ,23.0,DEN,81.0,81.0,33.5,7.8 ,17.4,0.45 ,0.9,2.4,0.355,7.0 ,14.9,0.465,0.475,2.7,2.9 ,0.935,0.6,2.1 ,2.8 ,4.2 ,1.0,0.1,2.3,2.2,19.2
4  ,Mark Acres           ,C    ,30.0,TOT,18.0,7.0 ,14.9,1.4 ,2.7 ,0.531,0.1,0.1,0.5  ,1.4 ,2.6 ,0.532,0.541,0.6,0.9 ,0.688,1.4,2.3 ,3.7 ,0.3 ,0.2,0.3,0.7,1.9,3.6
7  ,Michael Adams        ,PG   ,30.0,WSB,70.0,70.0,35.7,5.2 ,11.9,0.439,1.0,3.0,0.321,4.2 ,8.8 ,0.48 ,0.48 ,3.4,4.0 ,0.856,0.7,2.7 ,3.4 ,7.5 ,1.4,0.1,2.5,2.1,14.8
8  ,Rafael Addison       ,SF   ,28.0,NJN,68.0,15.0,17.1,2.7 ,6.0 ,0.443,0.1,0.5,0.206,2.6 ,5.5 ,0.464,0.451,0.8,1.0 ,0.814,0.7,1.3 ,1.9 ,0.8 ,0.3,0.2,0.9,1.8,6.3
9  ,Mark Aguirre         ,SF   ,33.0,DET,51.0,15.0,20.7,3.7 ,8.3 ,0.443,0.6,1.6,0.361,3.1 ,6.6 ,0.463,0.479,1.9,2.5 ,0.767,0.8,2.1 ,3.0 ,2.1 ,0.3,0.1,1.3,2.0,9.9
10 ,Danny Ainge          ,SG   ,33.0,PHO,80.0,0.0 ,27.0,4.2 ,9.1 ,0.462,1.9,4.7,0.403,2.3 ,4.5 ,0.522,0.564,1.5,1.8 ,0.848,0.6,2.1 ,2.7 ,3.3 ,0.9,0.1,1.4,2.2,11.8
11 ,Victor Alexander     ,C    ,23.0,GSW,72.0,59.0,24.3,4.8 ,9.3 ,0.516,0.1,0.3,0.455,4.6 ,9.0 ,0.518,0.523,1.5,2.3 ,0.685,1.8,4.0 ,5.8 ,1.3 ,0.5,0.7,1.7,3.0,11.2
13 ,Kenny Anderson       ,PG   ,22.0,NJN,55.0,55.0,36.5,6.7 ,15.5,0.435,0.1,0.5,0.28 ,6.6 ,15.0,0.44 ,0.439,3.3,4.2 ,0.776,0.9,3.2 ,4.1 ,8.2 ,1.7,0.2,2.8,2.5,16.9
14 ,Nick Anderson        ,SG   ,25.0,ORL,79.0,76.0,37.0,7.5 ,16.8,0.449,1.1,3.2,0.353,6.4 ,13.6,0.471,0.482,3.8,5.1 ,0.741,1.5,4.5 ,6.0 ,3.4 ,1.6,0.7,2.1,2.5,19.9
