   ,Player                  ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG  ,FGA ,FG%  ,3P ,3PA ,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
0  ,Quincy Acy              ,PF   ,25.0,SAC,59.0,29.0,14.8,2.0 ,3.6 ,0.556,0.3,0.8 ,0.388,1.7,2.8 ,0.606,0.6  ,0.8,1.2 ,0.735,1.1,2.1 ,3.2 ,0.5 ,0.5,0.4,0.5,1.7,5.2
1  ,Jordan Adams            ,SG   ,21.0,MEM,2.0 ,0.0 ,7.5 ,1.0 ,3.0 ,0.333,0.0,0.5 ,0.0  ,1.0,2.5 ,0.4  ,0.333,1.5,2.5 ,0.6  ,0.0,1.0 ,1.0 ,1.5 ,1.5,0.0,1.0,1.0,3.5
3  ,Arron Afflalo           ,SG   ,30.0,NYK,71.0,57.0,33.4,5.0 ,11.3,0.443,1.3,3.4 ,0.382,3.7,7.9 ,0.469,0.5  ,1.5,1.8 ,0.84 ,0.3,3.4 ,3.7 ,2.0 ,0.4,0.1,1.2,2.0,12.8
4  ,Alexis Ajinça           ,C    ,27.0,NOP,59.0,17.0,14.6,2.5 ,5.3 ,0.476,0.0,0.0 ,0.0  ,2.5,5.3 ,0.478,0.476,0.9,1.1 ,0.839,1.3,3.3 ,4.6 ,0.5 ,0.3,0.6,0.9,2.3,6.0
6  ,LaMarcus Aldridge       ,PF   ,30.0,SAS,74.0,74.0,30.6,7.2 ,14.1,0.513,0.0,0.2 ,0.0  ,7.2,13.9,0.521,0.513,3.5,4.1 ,0.858,2.4,6.2 ,8.5 ,1.5 ,0.5,1.1,1.3,2.0,18.0
9  ,Tony Allen              ,SG   ,34.0,MEM,64.0,57.0,25.3,3.4 ,7.3 ,0.458,0.2,0.7 ,0.357,3.1,6.7 ,0.468,0.474,1.4,2.2 ,0.652,1.6,3.0 ,4.6 ,1.1 ,1.7,0.3,1.2,2.7,8.4
10 ,Al-Farouq Aminu         ,SF   ,25.0,POR,82.0,82.0,28.5,3.6 ,8.8 ,0.416,1.5,4.3 ,0.361,2.1,4.5 ,0.468,0.503,1.4,1.9 ,0.737,1.2,4.9 ,6.1 ,1.7 ,0.9,0.6,1.5,2.1,10.2
12 ,Chris Andersen          ,C    ,37.0,TOT,27.0,15.0,14.9,1.4 ,2.7 ,0.528,0.1,0.5 ,0.286,1.3,2.1 ,0.586,0.556,0.9,1.3 ,0.694,1.3,2.3 ,3.6 ,0.4 ,0.6,0.5,0.3,1.1,3.9
15 ,Alan Anderson           ,SG   ,33.0,WAS,13.0,0.0 ,14.8,1.6 ,4.5 ,0.356,0.9,2.8 ,0.324,0.7,1.7 ,0.409,0.458,0.8,1.2 ,0.733,0.1,2.0 ,2.1 ,1.1 ,0.3,0.1,0.2,1.9,5.0
16 ,James Anderson          ,SG   ,26.0,SAC,51.0,15.0,14.1,1.3 ,3.5 ,0.376,0.5,1.7 ,0.267,0.9,1.8 ,0.478,0.441,0.4,0.6 ,0.759,0.3,1.4 ,1.7 ,0.8 ,0.4,0.3,0.8,1.1,3.5
17 ,Justin Anderson         ,SF   ,22.0,DAL,55.0,9.0 ,11.8,1.3 ,3.2 ,0.406,0.4,1.5 ,0.265,0.9,1.7 ,0.533,0.469,0.8,1.0 ,0.8  ,0.3,2.1 ,2.4 ,0.5 ,0.3,0.5,0.4,0.8,3.8
18 ,Kyle Anderson           ,SF   ,22.0,SAS,78.0,11.0,16.0,1.8 ,3.8 ,0.468,0.2,0.5 ,0.324,1.6,3.3 ,0.488,0.488,0.8,1.1 ,0.747,0.3,2.8 ,3.1 ,1.6 ,0.8,0.4,0.8,1.2,4.5
19 ,Ryan Anderson           ,PF   ,27.0,NOP,66.0,7.0 ,30.4,6.0 ,14.1,0.427,2.0,5.4 ,0.366,4.0,8.7 ,0.466,0.498,3.0,3.5 ,0.873,2.0,4.0 ,6.0 ,1.1 ,0.6,0.4,1.4,1.7,17.0
20 ,Giannis Antetokounmpo   ,PG   ,21.0,MIL,80.0,79.0,35.3,6.4 ,12.7,0.506,0.4,1.4 ,0.257,6.1,11.3,0.537,0.52 ,3.7,5.1 ,0.724,1.4,6.2 ,7.7 ,4.3 ,1.2,1.4,2.6,3.2,16.9
