,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
0,Tariq Abdul-Wahad,SG,28,DAL,8,0,9.9,1.1,3.8,.300,0.0,0.3,.000,1.1,3.5,.321,.300,0.9,1.0,.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1,12.6,.373,.067,.267,15.2,15.4,15.3,13.0,0.0,0.0,2.9,19.7,0.1,0.0,0.1,.034,0.8,-3.0,-2.2,0.0,2003
1,Courtney Alexander,PG,25,NOH,5,0,7.8,1.4,3.2,.438,0.2,0.2,1.000,1.2,3.0,.400,.469,0.6,0.8,.750,0.4,0.4,0.8,0.2,0.4,0.0,0.2,1.2,3.6,14.4,.507,.063,.250,6.3,6.3,6.3,4.9,2.8,0.0,5.3,22.4,0.1,0.0,0.1,.097,-1.5,0.3,-1.2,0.0,2003
2,John Amaechi,C,32,UTA,2,0,8.0,0.5,2.0,.250,0.0,0.0,0,0.5,2.0,.250,.250,1.0,2.0,.500,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,-2.2,.347,.000,1.000,0.0,7.8,3.8,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,-0.105,-8.5,-2.3,-10.9,0.0,2003
3,Derek Anderson,PG,28,POR,2,2,11.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.5,.000,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,-4.1,.225,.250,.250,5.3,0.0,2.7,0.0,0.0,0.0,18.4,11.2,-0.1,0.0,-0.1,-0.197,-7.9,-5.3,-13.2,-0.1,2003
4,Kenny Anderson,PG,32,NOH,5,0,10.2,0.8,2.4,.333,0.0,0.0,0,0.8,2.4,.333,.333,0.6,0.6,1.000,0.0,0.4,0.4,1.8,0.6,0.0,0.8,1.2,2.2,7.7,.413,.000,.250,0.0,4.8,2.4,28.2,3.2,0.0,23.1,15.8,0.0,0.0,0.0,-0.016,-4.5,1.0,-3.5,0.0,2003
5,Darrell Armstrong,PG,34,ORL,7,1,32.3,2.9,6.3,.455,0.9,2.6,.333,2.0,3.7,.538,.523,2.9,3.1,.909,1.0,1.4,2.4,3.7,0.9,0.0,2.4,3.1,9.4,11.5,.615,.409,.500,3.7,5.2,4.5,20.6,1.4,0.0,24.1,15.0,0.3,0.1,0.3,.069,0.6,-0.8,-0.2,0.1,2003
6,Carlos Arroyo,PG,23,UTA,3,0,9.0,1.0,3.0,.333,0.0,0.0,0,1.0,3.0,.333,.333,1.0,1.3,.750,0.7,0.0,0.7,1.7,0.0,0.0,0.0,0.7,3.0,14.1,.418,.000,.444,9.0,0.0,4.5,31.2,0.0,0.0,0.0,17.8,0.1,0.0,0.0,.050,3.0,-4.1,-1.2,0.0,2003
7,Chucky Atkins,PG,28,DET,17,3,18.4,1.9,5.4,.352,1.1,2.9,.367,0.8,2.5,.333,.451,1.2,1.5,.808,0.1,1.1,1.2,1.5,1.0,0.0,1.1,2.3,6.1,9.9,.503,.538,.286,0.7,7.0,3.8,16.0,3.0,0.0,14.9,18.6,0.0,0.4,0.4,.061,-2.6,1.2,-1.5,0.0,2003
8,Stacey Augmon,SG,34,NOH,4,0,17.3,1.3,3.8,.333,0.0,0.0,0,1.3,3.8,.333,.333,1.8,2.0,.875,0.3,2.3,2.5,0.8,0.8,0.0,0.8,2.0,4.3,7.7,.459,.000,.533,1.8,16.0,8.9,6.9,2.4,0.0,13.9,14.5,0.0,0.1,0.0,.030,-4.2,1.4,-2.9,0.0,2003
9,Jon Barry,SG,33,DET,14,0,12.3,1.6,3.9,.426,1.1,2.4,.455,0.6,1.5,.381,.565,0.6,0.6,1.000,0.4,1.4,1.7,1.4,0.6,0.1,0.5,1.0,5.0,19.3,.604,.611,.167,3.3,13.4,8.2,23.8,2.6,0.4,10.8,18.2,0.5,0.3,0.7,.202,4.0,2.0,6.0,0.3,2003
10,Tony Battie,C,26,BOS,10,10,21.3,3.1,5.5,.564,0.0,0.3,.000,3.1,5.2,.596,.564,0.4,0.8,.500,1.3,3.6,4.9,0.5,0.4,1.4,0.7,4.2,6.6,13.2,.564,.055,.145,7.1,19.1,13.2,4.4,1.0,5.2,10.7,14.6,0.2,0.4,0.6,.127,-2.8,1.6,-1.2,0.0,2003
11,Raja Bell,SG,26,DAL,17,7,17.9,2.4,4.3,.548,0.4,0.8,.462,2.0,3.5,.567,.589,0.6,1.2,.550,0.8,2.2,3.0,1.6,0.3,0.0,0.4,2.4,5.7,13.9,.593,.178,.274,4.6,13.8,9.2,13.3,0.8,0.0,6.8,12.9,0.8,0.0,0.8,.121,0.8,1.5,2.3,0.3,2003
12,Jonathan Bender,SF,22,IND,3,0,11.3,1.7,5.0,.333,1.0,3.0,.333,0.7,2.0,.333,.433,1.3,2.0,.667,1.0,1.3,2.3,0.0,0.0,0.7,0.0,0.7,5.7,17.5,.482,.600,.400,9.6,13.5,11.5,0.0,0.0,5.4,0.0,23.9,0.1,0.0,0.1,.117,6.0,-2.3,3.7,0.0,2003
13,Mike Bibby,PG,24,SAC,12,12,33.7,4.8,11.3,.422,0.9,3.3,.282,3.8,8.0,.479,.463,2.3,2.8,.794,0.7,1.9,2.6,5.0,1.2,0.4,1.5,2.6,12.7,14.5,.507,.289,.252,2.2,6.2,4.2,22.4,1.8,0.9,10.7,18.2,0.6,0.1,0.7,.082,1.0,0.1,1.0,0.3,2003
14,Chauncey Billups,PG,26,DET,14,14,34.6,5.1,13.6,.374,1.9,6.0,.310,3.2,7.6,.425,.442,6.0,6.4,.933,0.3,3.1,3.4,4.7,0.6,0.1,2.4,2.7,18.0,17.9,.549,.442,.474,1.0,10.8,5.7,28.6,1.0,0.3,12.9,26.2,1.0,0.5,1.5,.144,3.0,-0.5,2.5,0.5,2003
15,Mark Blount,C,27,BOS,10,0,14.4,1.2,2.2,.545,0.0,0.0,0,1.2,2.2,.545,.545,0.7,1.0,.700,1.2,2.4,3.6,0.2,1.1,0.8,0.8,2.0,3.1,13.9,.587,.000,.455,9.8,18.9,14.4,2.3,4.1,4.4,23.3,11.3,0.1,0.3,0.4,.139,-2.1,2.8,0.6,0.1,2003
