,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,ARENA,ATTENDANCE,ATTENDANCE/G
30,CHI,2009,26.2,41,41,36,46,-1.63,0.0,-1.64,103.5,105.3,-1.8,93.1,0.287,0.156,0.52,0.47700000000000004,13.3,26.6,0.217,0.484,12.3,74.8,0.212,United Center,849760.0,20726.0
70,LAL,2009,28.4,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.22699999999999998,0.5379999999999999,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,STAPLES Center,778877.0,18997.0
110,BOS,2009,29.4,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,0.48700000000000004,14.9,73.8,0.251,TD Garden,763584.0,18624.0
179,UTA,2009,25.6,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,5.7,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,0.49200000000000005,14.2,75.6,0.26899999999999996,EnergySolutions Arena,794512.0,19378.0
210,MIA,2009,27.1,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,0.29600000000000004,0.21899999999999997,0.537,0.496,12.8,26.1,0.223,0.48,13.9,74.9,0.24600000000000002,AmericanAirlines Arena,726935.0,17730.0
250,PHI,2009,25.4,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,-4.2,91.6,0.27,0.20600000000000002,0.534,0.496,13.7,27.6,0.204,0.518,13.8,73.2,0.231,Wachovia Center,583219.0,14225.0
290,SAS,2009,28.7,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,5.5,91.7,0.29600000000000004,0.23199999999999998,0.552,0.515,12.9,26.8,0.21899999999999997,0.483,12.1,76.3,0.214,AT&T Center,741676.0,18090.0
330,WAS,2009,27.6,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,0.28300000000000003,0.183,0.524,0.48100000000000004,13.9,27.6,0.21600000000000003,0.502,12.8,72.4,0.239,Verizon Center,664398.0,16205.0
370,POR,2009,26.6,50,32,51,31,3.3,-0.13,3.18,110.8,107.1,3.7,87.7,0.315,0.215,0.547,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.21899999999999997,Rose Garden Arena,840371.0,20497.0
404,SAC,2009,24.1,25,57,29,53,-4.37,0.3,-4.06,105.3,109.9,-4.6,94.0,0.28600000000000003,0.201,0.528,0.491,13.6,27.8,0.207,0.505,12.6,73.5,0.244,Power Balance Pavilion,543416.0,13254.0
444,HOU,2009,26.0,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,0.292,0.265,0.537,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,Toyota Center,677658.0,16528.0
459,CHA,2009,27.4,44,38,45,37,1.46,-0.17,1.3,104.4,102.8,1.6,90.4,0.34600000000000003,0.21100000000000002,0.5379999999999999,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.19399999999999998,Time Warner Cable Arena,648520.0,15818.0
478,TOR,2009,25.2,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,0.319,0.21100000000000002,0.564,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,Air Canada Centre,733784.0,17897.0
502,MEM,2009,24.1,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,0.32,0.14800000000000002,0.536,0.494,13.7,31.3,0.235,0.52,13.2,73.3,0.205,FedEx Forum,552914.0,13486.0
542,GSW,2009,25.1,26,56,32,50,-3.6,0.32,-3.28,108.1,111.7,-3.6,100.4,0.294,0.23800000000000002,0.557,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,Oracle Arena,739120.0,18027.0
582,DEN,2009,27.7,53,29,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.376,0.22699999999999998,0.561,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,Pepsi Center,737301.0,17983.0
622,ATL,2009,26.5,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.20800000000000002,Philips Arena,678375.0,16546.0
671,ORL,2009,27.9,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,0.34,0.35,0.573,0.536,13.6,24.6,0.24600000000000002,0.47700000000000004,12.2,77.4,0.205,Amway Arena,715901.0,17461.0
711,CLE,2009,28.0,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.24600000000000002,0.48200000000000004,12.3,77.2,0.218,Quicken Loans Arena,843042.0,20562.0
726,NOH,2009,27.5,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,0.243,0.23,0.5429999999999999,0.506,12.7,24.8,0.18899999999999997,0.523,13.5,73.8,0.205,New Orleans Arena,617366.0,15058.0
765,NYK,2009,25.4,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,-4.0,94.0,0.256,0.312,0.547,0.509,13.0,23.5,0.2,0.526,13.3,72.1,0.207,Madison Square Garden (IV),799550.0,19501.0
805,IND,2009,26.6,32,50,33,49,-3.01,-0.1,-3.11,103.7,106.8,-3.1,97.1,0.29600000000000004,0.278,0.536,0.491,13.8,21.6,0.22899999999999998,0.49,13.4,73.0,0.258,Conseco Fieldhouse,582295.0,14202.0
845,MIL,2009,26.4,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.239,0.259,0.518,0.48200000000000004,12.3,26.2,0.18100000000000002,0.486,14.6,76.4,0.266,Bradley Center,619453.0,15109.0
880,LAC,2009,27.3,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,0.28300000000000003,0.221,0.529,0.491,14.8,27.1,0.20600000000000002,0.509,12.2,74.0,0.214,STAPLES Center,670063.0,16343.0
919,DAL,2009,30.7,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.27699999999999997,0.222,0.552,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.20600000000000002,American Airlines Center,819770.0,19994.0
959,PHO,2009,28.5,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,0.546,13.6,27.6,0.24,0.491,11.6,70.8,0.22399999999999998,US Airways Center,723582.0,17648.0
999,DET,2009,26.7,27,55,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,0.303,0.18,0.515,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,The Palace of Auburn Hills,768826.0,18752.0
1029,MIN,2009,24.1,15,67,17,65,-9.6,0.54,-9.06,101.7,111.6,-9.9,96.1,0.278,0.171,0.518,0.478,14.6,26.7,0.207,0.525,13.0,73.6,0.22,Target Center,619170.0,15102.0
1069,NJN,2009,24.8,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,0.307,0.18100000000000002,0.509,0.45799999999999996,13.7,25.1,0.24,0.517,13.3,71.8,0.22899999999999998,Izod Center,537230.0,13103.0
1079,OKC,2009,23.2,50,32,51,31,3.49,0.06,3.55,108.3,104.6,3.7,93.1,0.33299999999999996,0.185,0.547,0.494,13.9,28.6,0.268,0.483,14.0,73.6,0.22899999999999998,Oklahoma City Arena,738149.0,18004.0
